blurb,category,country,created_at,currency,deadline,fx_rate,goal,launched_at,name,staff_pick,location,funded,subcategory,project_url,reward_url,dbl,dbd
artist residence studio summer stretch wing land,art,US,1325980505,USD,1334866560,1.0,2800.0,1332969260,Elsewhere Studios artist-in-residency program!,False,"Paonia, CO",True,mixed media,https://www.kickstarter.com/projects/hilaryemersonlay/elsewhere-studios-artist-in-residency-program,https://www.kickstarter.com/projects/hilaryemersonlay/elsewhere-studios-artist-in-residency-program/rewards,80,21
artist public art installation washington mall occur january,art,US,1330926084,USD,1336440145,1.0,4500.0,1332984145,1000 Artists: Presidential Inauguration 2013,False,"Washington, DC",True,public art,https://www.kickstarter.com/projects/17146650/1000-artists-presidential-inauguration-2013,https://www.kickstarter.com/projects/17146650/1000-artists-presidential-inauguration-2013/rewards,23,40
sequel favorite machine myphonehenge celebrate community virtual real world,art,US,1332382894,USD,1338175739,1.0,5000.0,1332991739,MyPhoneHenge,False,"Frisco, TX",True,sculpture,https://www.kickstarter.com/projects/belveal/myphonehenge,https://www.kickstarter.com/projects/belveal/myphonehenge/rewards,7,60
film explore role value art education today history seminal california institute art,art,GB,1332342451,USD,1334806096,1.0,6500.0,1332991696,Walk-Through,False,"Glasgow, UK",True,art,https://www.kickstarter.com/projects/1078130915/walk-through,https://www.kickstarter.com/projects/1078130915/walk-through/rewards,7,21
need build kitchen habitable space self sustain farm artist residency ranch texas,art,US,1328562617,USD,1335584240,1.0,15000.0,1332992240,A kitchen for Habitable Spaces,False,"Kingsbury, TX",True,public art,https://www.kickstarter.com/projects/1044092769/a-kitchen-for-habitable-spaces,https://www.kickstarter.com/projects/1044092769/a-kitchen-for-habitable-spaces/rewards,51,30
source material person exhibition painting brian dupont chris rusak skydive artspace houston texas,art,US,1331239703,USD,1336090320,1.0,600.0,1333017856,Source Material: Works by Brian Dupont and Chris Rusak,False,"Houston, TX",True,painting,https://www.kickstarter.com/projects/973860748/source-material-works-by-brian-dupont-and-chris-ru,https://www.kickstarter.com/projects/973860748/source-material-works-by-brian-dupont-and-chris-ru/rewards,20,35
anthropological field study dwarven race,art,US,1332802530,USD,1334030340,1.0,2000.0,1333045464,A Book of Dwarves,False,"Chicago, IL",True,art,https://www.kickstarter.com/projects/1367577087/a-book-of-dwarves,https://www.kickstarter.com/projects/1367577087/a-book-of-dwarves/rewards,2,11
portrait artist seek fund kickstart exciting year long project involve produce draw paint tutorial video,art,US,1331325438,USD,1335671940,1.0,10000.0,1332822807,Drawing a Drawing 365,True,"New Britain, CT",True,painting,https://www.kickstarter.com/projects/michaelshapcott/drawing-a-drawing-365,https://www.kickstarter.com/projects/michaelshapcott/drawing-a-drawing-365/rewards,17,32
month long residency vermont studio center create body work deal current environmental situation,art,US,1331904129,USD,1336736610,1.0,2800.0,1332848610,The Vermont Studio Center Artist Residency Program,True,"Johnson, VT",True,painting,https://www.kickstarter.com/projects/1063252734/the-vermont-studio-center-artist-residency-program,https://www.kickstarter.com/projects/1063252734/the-vermont-studio-center-artist-residency-program/rewards,10,45
art music theater live waterfront free,art,US,1330979179,USD,1335443088,1.0,5000.0,1332851088,Arts on the Waterfront,False,"Seattle, WA",True,public art,https://www.kickstarter.com/projects/1398518902/arts-on-the-waterfront,https://www.kickstarter.com/projects/1398518902/arts-on-the-waterfront/rewards,21,30
